symbol,ibkr_session_start,ibkr_session_end,yml_session_start,yml_session_end
QQQ,2000-03-06 09:30:00-05:00,2000-03-06 16:15:00-05:00,2000-03-06 09:30:00-05:00,2000-03-06 16:00:00-05:00
QQQ,2000-03-07 09:30:00-05:00,2000-03-07 16:15:00-05:00,2000-03-07 09:30:00-05:00,2000-03-07 16:00:00-05:00
QQQ,2000-03-08 09:30:00-05:00,2000-03-08 16:15:00-05:00,2000-03-08 09:30:00-05:00,2000-03-08 16:00:00-05:00
QQQ,2000-03-09 09:30:00-05:00,2000-03-09 16:15:00-05:00,2000-03-09 09:30:00-05:00,2000-03-09 16:00:00-05:00
QQQ,2000-03-10 09:30:00-05:00,2000-03-10 16:15:00-05:00,2000-03-10 09:30:00-05:00,2000-03-10 16:00:00-05:00
QQQ,2000-03-13 09:30:00-05:00,2000-03-13 16:15:00-05:00,2000-03-13 09:30:00-05:00,2000-03-13 16:00:00-05:00
QQQ,2000-03-14 09:30:00-05:00,2000-03-14 16:15:00-05:00,2000-03-14 09:30:00-05:00,2000-03-14 16:00:00-05:00
QQQ,2000-03-15 09:30:00-05:00,2000-03-15 16:15:00-05:00,2000-03-15 09:30:00-05:00,2000-03-15 16:00:00-05:00
QQQ,2000-03-16 09:30:00-05:00,2000-03-16 16:15:00-05:00,2000-03-16 09:30:00-05:00,2000-03-16 16:00:00-05:00
QQQ,2000-03-17 09:30:00-05:00,2000-03-17 16:15:00-05:00,2000-03-17 09:30:00-05:00,2000-03-17 16:00:00-05:00
QQQ,2000-03-20 09:30:00-05:00,2000-03-20 16:15:00-05:00,2000-03-20 09:30:00-05:00,2000-03-20 16:00:00-05:00
QQQ,2000-03-21 09:30:00-05:00,2000-03-21 16:15:00-05:00,2000-03-21 09:30:00-05:00,2000-03-21 16:00:00-05:00
QQQ,2000-03-22 09:30:00-05:00,2000-03-22 16:15:00-05:00,2000-03-22 09:30:00-05:00,2000-03-22 16:00:00-05:00
QQQ,2000-03-23 09:30:00-05:00,2000-03-23 16:15:00-05:00,2000-03-23 09:30:00-05:00,2000-03-23 16:00:00-05:00
QQQ,2000-03-24 09:30:00-05:00,2000-03-24 16:15:00-05:00,2000-03-24 09:30:00-05:00,2000-03-24 16:00:00-05:00
QQQ,2000-03-27 09:30:00-05:00,2000-03-27 16:15:00-05:00,2000-03-27 09:30:00-05:00,2000-03-27 16:00:00-05:00
QQQ,2000-03-28 09:30:00-05:00,2000-03-28 16:15:00-05:00,2000-03-28 09:30:00-05:00,2000-03-28 16:00:00-05:00
QQQ,2000-03-29 09:30:00-05:00,2000-03-29 16:15:00-05:00,2000-03-29 09:30:00-05:00,2000-03-29 16:00:00-05:00
QQQ,2000-03-30 09:30:00-05:00,2000-03-30 16:15:00-05:00,2000-03-30 09:30:00-05:00,2000-03-30 16:00:00-05:00
QQQ,2000-03-31 09:30:00-05:00,2000-03-31 16:15:00-05:00,2000-03-31 09:30:00-05:00,2000-03-31 16:00:00-05:00
QQQ,2000-04-03 09:30:00-04:00,2000-04-03 16:15:00-04:00,2000-04-03 09:30:00-04:00,2000-04-03 16:00:00-04:00
QQQ,2000-04-04 09:30:00-04:00,2000-04-04 16:15:00-04:00,2000-04-04 09:30:00-04:00,2000-04-04 16:00:00-04:00
QQQ,2000-04-05 09:30:00-04:00,2000-04-05 16:15:00-04:00,2000-04-05 09:30:00-04:00,2000-04-05 16:00:00-04:00
QQQ,2000-04-06 09:30:00-04:00,2000-04-06 16:15:00-04:00,2000-04-06 09:30:00-04:00,2000-04-06 16:00:00-04:00
QQQ,2000-04-07 09:30:00-04:00,2000-04-07 16:15:00-04:00,2000-04-07 09:30:00-04:00,2000-04-07 16:00:00-04:00
QQQ,2000-04-10 09:30:00-04:00,2000-04-10 16:15:00-04:00,2000-04-10 09:30:00-04:00,2000-04-10 16:00:00-04:00
